top - 17:56:47 up 204 days,  9:44,  0 users,  load average: 24.02, 24.06, 22.04
Tasks: 886 total,  25 running, 861 sleeping,   0 stopped,   0 zombie
Cpu(s): 66.9%us,  2.0%sy,  0.0%ni, 31.0%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  132170692k total, 41202688k used, 90968004k free,   226444k buffers
Swap:  9775548k total,     8848k used,  9766700k free, 29034344k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
   49 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/15         
   50 root      20   0     0    0    0 S  0.0  0.0   0:44.91 ksoftirqd/15       
   51 root      RT   0     0    0    0 S  0.0  0.0  11:07.69 migration/16       
   52 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/16         
   53 root      20   0     0    0    0 S  0.0  0.0   0:36.36 ksoftirqd/16       
   54 root      RT   0     0    0    0 S  0.0  0.0   9:18.13 migration/17       
   55 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/17         
   56 root      20   0     0    0    0 S  0.0  0.0   0:29.78 ksoftirqd/17       
   57 root      RT   0     0    0    0 S  0.0  0.0  59:13.10 migration/18       
   58 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/18         
   59 root      20   0     0    0    0 S  0.0  0.0   1:15.75 ksoftirqd/18       
   60 root      RT   0     0    0    0 S  0.0  0.0  50:04.29 migration/19       
   61 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/19         
   62 root      20   0     0    0    0 S  0.0  0.0   0:45.68 ksoftirqd/19       
   63 root      RT   0     0    0    0 S  0.0  0.0  17:47.98 migration/20       
   64 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/20         
   65 root      20   0     0    0    0 S  0.0  0.0   0:31.10 ksoftirqd/20       
   66 root      RT   0     0    0    0 S  0.0  0.0  21:58.69 migration/21       
   67 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/21         
   68 root      20   0     0    0    0 S  0.0  0.0   1:40.75 ksoftirqd/21       
   69 root      RT   0     0    0    0 S  0.0  0.0  18:02.56 migration/22       
   70 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/22         
   71 root      20   0     0    0    0 S  0.0  0.0   1:13.62 ksoftirqd/22       
   72 root      RT   0     0    0    0 S  0.0  0.0  17:10.73 migration/23       
   73 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/23         
   74 root      20   0     0    0    0 S  0.0  0.0   0:46.41 ksoftirqd/23       
   75 root      20   0     0    0    0 S  0.0  0.0  68:14.84 events/0           
   76 root      20   0     0    0    0 S  0.0  0.0  26:01.84 events/1           
   77 root      20   0     0    0    0 S  0.0  0.0  36:23.22 events/2           
   78 root      20   0     0    0    0 S  0.0  0.0  32:33.90 events/3           
   79 root      20   0     0    0    0 S  0.0  0.0  22:05.25 events/4           
   80 root      20   0     0    0    0 S  0.0  0.0  35:36.81 events/5           
   81 root      20   0     0    0    0 S  0.0  0.0  25:36.32 events/6           
   82 root      20   0     0    0    0 S  0.0  0.0  24:14.68 events/7           
   83 root      20   0     0    0    0 S  0.0  0.0  24:30.63 events/8           
   84 root      20   0     0    0    0 S  0.0  0.0  24:09.85 events/9           
   85 root      20   0     0    0    0 S  0.0  0.0  32:39.51 events/10          
   86 root      20   0     0    0    0 S  0.0  0.0  20:22.09 events/11          
   87 root      20   0     0    0    0 S  0.0  0.0  32:27.18 events/12          
   88 root      20   0     0    0    0 S  0.0  0.0  26:59.03 events/13          
   89 root      20   0     0    0    0 S  0.0  0.0  19:21.47 events/14          
   90 root      20   0     0    0    0 S  0.0  0.0  19:04.78 events/15          
   91 root      20   0     0    0    0 S  0.0  0.0  20:40.42 events/16          
   92 root      20   0     0    0    0 S  0.0  0.0  19:13.10 events/17          
   93 root      20   0     0    0    0 S  0.0  0.0  45:06.93 events/18          
   94 root      20   0     0    0    0 S  0.0  0.0  23:21.73 events/19          
   95 root      20   0     0    0    0 S  0.0  0.0  16:43.24 events/20          
   96 root      20   0     0    0    0 S  0.0  0.0  25:00.36 events/21          
   97 root      20   0     0    0    0 S  0.0  0.0  32:19.36 events/22          
   98 root      20   0     0    0    0 S  0.0  0.0  26:00.34 events/23          
   99 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/0           
  100 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/1           
  101 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/2           
  102 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/3           
