#---it-------t-------dt------uymax-------rhom---------TTm-------Y1m-------Y2m-------Y3m-------Y4m-------Y5m-------Y6m-------Y7m-------Y8m----
    260  1.55E-04 2.00E-08 1.071E+04     0.000225  1456.1179 9.547E-03 1.200E-01 1.039E-01 1.100E-03 6.782E-03 9.303E-03 3.218E-05 7.496E-01
    270  1.55E-04 2.00E-08 1.081E+04     0.000225  1454.7972 9.564E-03 1.202E-01 1.037E-01 1.100E-03 6.774E-03 9.285E-03 3.223E-05 7.496E-01
    280  1.56E-04 2.00E-08 1.089E+04     0.000225  1453.4872 9.582E-03 1.203E-01 1.036E-01 1.099E-03 6.767E-03 9.268E-03 3.227E-05 7.496E-01
    290  1.56E-04 2.00E-08 1.092E+04     0.000225  1452.1884 9.599E-03 1.205E-01 1.034E-01 1.099E-03 6.759E-03 9.251E-03 3.233E-05 7.496E-01
    300  1.56E-04 2.00E-08 1.093E+04     0.000225  1450.9027 9.616E-03 1.206E-01 1.033E-01 1.099E-03 6.752E-03 9.234E-03 3.238E-05 7.496E-01
    310  1.56E-04 2.00E-08 1.099E+04     0.000225  1449.6379 9.633E-03 1.208E-01 1.032E-01 1.098E-03 6.744E-03 9.217E-03 3.244E-05 7.496E-01
    320  1.56E-04 2.00E-08 1.100E+04     0.000225  1448.4033 9.649E-03 1.209E-01 1.030E-01 1.098E-03 6.737E-03 9.200E-03 3.250E-05 7.496E-01
    330  1.57E-04 2.00E-08 1.098E+04     0.000225  1447.2004 9.665E-03 1.210E-01 1.029E-01 1.097E-03 6.730E-03 9.184E-03 3.257E-05 7.496E-01
    340  1.57E-04 2.00E-08 1.102E+04     0.000225  1446.0275 9.681E-03 1.212E-01 1.028E-01 1.097E-03 6.722E-03 9.168E-03 3.264E-05 7.496E-01
    350  1.57E-04 2.00E-08 1.117E+04     0.000226  1444.8835 9.697E-03 1.213E-01 1.026E-01 1.097E-03 6.715E-03 9.152E-03 3.272E-05 7.496E-01
    360  1.57E-04 2.00E-08 1.124E+04     0.000226  1443.7671 9.712E-03 1.214E-01 1.025E-01 1.096E-03 6.708E-03 9.136E-03 3.279E-05 7.496E-01
    370  1.57E-04 2.00E-08 1.122E+04     0.000226  1442.6770 9.727E-03 1.216E-01 1.024E-01 1.096E-03 6.701E-03 9.121E-03 3.287E-05 7.496E-01
    380  1.58E-04 2.00E-08 1.114E+04     0.000226  1441.6122 9.742E-03 1.217E-01 1.023E-01 1.096E-03 6.694E-03 9.106E-03 3.295E-05 7.496E-01
    390  1.58E-04 2.00E-08 1.120E+04     0.000226  1440.5719 9.757E-03 1.218E-01 1.021E-01 1.095E-03 6.687E-03 9.092E-03 3.304E-05 7.496E-01
    400  1.58E-04 2.00E-08 1.121E+04     0.000226  1439.5546 9.771E-03 1.219E-01 1.020E-01 1.095E-03 6.681E-03 9.078E-03 3.313E-05 7.496E-01
    410  1.58E-04 2.00E-08 1.114E+04     0.000226  1438.5587 9.786E-03 1.221E-01 1.019E-01 1.095E-03 6.674E-03 9.064E-03 3.322E-05 7.496E-01
    420  1.58E-04 2.00E-08 1.106E+04     0.000226  1437.5831 9.800E-03 1.222E-01 1.018E-01 1.094E-03 6.668E-03 9.050E-03 3.331E-05 7.496E-01
    430  1.59E-04 2.00E-08 1.111E+04     0.000226  1436.6265 9.814E-03 1.223E-01 1.017E-01 1.094E-03 6.661E-03 9.037E-03 3.341E-05 7.496E-01
    440  1.59E-04 2.00E-08 1.114E+04     0.000227  1435.6878 9.828E-03 1.224E-01 1.016E-01 1.094E-03 6.655E-03 9.024E-03 3.350E-05 7.496E-01
    450  1.59E-04 2.00E-08 1.113E+04     0.000227  1434.7662 9.841E-03 1.225E-01 1.015E-01 1.093E-03 6.648E-03 9.011E-03 3.360E-05 7.496E-01
    460  1.59E-04 2.00E-08 1.111E+04     0.000227  1433.8614 9.855E-03 1.227E-01 1.014E-01 1.093E-03 6.642E-03 8.998E-03 3.370E-05 7.496E-01
    470  1.59E-04 2.00E-08 1.105E+04     0.000227  1432.9728 9.868E-03 1.228E-01 1.012E-01 1.093E-03 6.636E-03 8.986E-03 3.380E-05 7.496E-01
    480  1.60E-04 2.00E-08 1.095E+04     0.000227  1432.0991 9.881E-03 1.229E-01 1.011E-01 1.093E-03 6.629E-03 8.973E-03 3.391E-05 7.496E-01
    490  1.60E-04 2.00E-08 1.099E+04     0.000227  1431.2396 9.894E-03 1.230E-01 1.010E-01 1.092E-03 6.623E-03 8.961E-03 3.401E-05 7.496E-01
    500  1.60E-04 2.00E-08 1.100E+04     0.000227  1430.3930 9.907E-03 1.231E-01 1.009E-01 1.092E-03 6.617E-03 8.949E-03 3.412E-05 7.496E-01
    510  1.60E-04 2.00E-08 1.096E+04     0.000227  1429.5587 9.920E-03 1.232E-01 1.008E-01 1.092E-03 6.611E-03 8.937E-03 3.423E-05 7.496E-01
    520  1.60E-04 2.00E-08 1.086E+04     0.000228  1428.7359 9.933E-03 1.233E-01 1.007E-01 1.092E-03 6.605E-03 8.926E-03 3.433E-05 7.496E-01
    530  1.61E-04 2.00E-08 1.082E+04     0.000228  1427.9244 9.945E-03 1.234E-01 1.006E-01 1.092E-03 6.600E-03 8.914E-03 3.444E-05 7.496E-01
    540  1.61E-04 2.00E-08 1.084E+04     0.000228  1427.1242 9.958E-03 1.235E-01 1.005E-01 1.091E-03 6.594E-03 8.903E-03 3.455E-05 7.496E-01
    550  1.61E-04 2.00E-08 1.085E+04     0.000228  1426.3351 9.970E-03 1.236E-01 1.004E-01 1.091E-03 6.588E-03 8.892E-03 3.466E-05 7.496E-01
    560  1.61E-04 2.00E-08 1.081E+04     0.000228  1425.5565 9.983E-03 1.237E-01 1.003E-01 1.091E-03 6.582E-03 8.881E-03 3.477E-05 7.496E-01
    570  1.61E-04 2.00E-08 1.075E+04     0.000228  1424.7881 9.995E-03 1.238E-01 1.002E-01 1.091E-03 6.577E-03 8.870E-03 3.488E-05 7.496E-01
    580  1.62E-04 2.00E-08 1.074E+04     0.000228  1424.0297 1.001E-02 1.239E-01 1.001E-01 1.091E-03 6.571E-03 8.859E-03 3.499E-05 7.496E-01
    590  1.62E-04 2.00E-08 1.077E+04     0.000229  1423.2811 1.002E-02 1.240E-01 1.000E-01 1.091E-03 6.566E-03 8.849E-03 3.510E-05 7.496E-01
    600  1.62E-04 2.00E-08 1.076E+04     0.000229  1422.5416 1.003E-02 1.241E-01 9.993E-02 1.091E-03 6.561E-03 8.838E-03 3.521E-05 7.496E-01
    610  1.62E-04 2.00E-08 1.079E+04     0.000229  1421.8103 1.004E-02 1.242E-01 9.983E-02 1.091E-03 6.555E-03 8.828E-03 3.532E-05 7.496E-01
    620  1.62E-04 2.00E-08 1.087E+04     0.000229  1421.0866 1.005E-02 1.243E-01 9.974E-02 1.091E-03 6.550E-03 8.818E-03 3.543E-05 7.496E-01
    630  1.63E-04 2.00E-08 1.090E+04     0.000229  1420.3700 1.007E-02 1.244E-01 9.964E-02 1.091E-03 6.545E-03 8.807E-03 3.554E-05 7.496E-01
    640  1.63E-04 2.00E-08 1.091E+04     0.000229  1419.6602 1.008E-02 1.245E-01 9.955E-02 1.091E-03 6.540E-03 8.797E-03 3.565E-05 7.496E-01
