#---it----------t---------itype-iproc---l-----m-----n-------x------------y------------z-----------rho---------rhom----------TT-----------EE----------Ekin----------Ecr--------t_sedov------radius------site_Nsol------maxTT------t_interval----SN_rate--
      5187  0.13861E-01     2    19    11    13    11  0.30000E-01  0.38000E-01  0.17000E+00  0.28252E+00  0.25950E+00  0.20182E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.82826E-04  0.20000E-01  0.21499E+03  0.18980E+05  0.50195E-02  0.13024E-02
      6412  0.18886E-01     2     8    10     9    23 -0.54000E-01 -0.58000E-01 -0.62000E-01  0.43565E+00  0.43064E+00  0.16988E+03  0.20971E+00  0.74506E-08  0.00000E+00  0.10670E-03  0.20000E-01  0.35678E+03  0.12347E+05  0.78920E-04  0.13024E-02
      6585  0.18967E-01     2    15    15    11    37  0.46000E-01  0.30000E-01  0.13400E+00  0.19450E+00  0.20843E+00  0.27304E+03  0.21149E+00  0.00000E+00  0.00000E+00  0.89775E-04  0.21580E-01  0.21693E+03  0.22391E+05  0.66324E-03  0.13024E-02
      6918  0.19632E-01     2    11    23    11    35  0.78000E-01  0.30000E-01 -0.14000E-01  0.15671E+01  0.16707E+01  0.59005E+02  0.16551E+00  0.66662E-02  0.00000E+00  0.21016E-03  0.20000E-01  0.13842E+04  0.58217E+04  0.64517E-03  0.13024E-02
      7195  0.20278E-01     2     8     8    18     5 -0.62000E-01 -0.22000E-01 -0.13400E+00  0.23524E+00  0.24655E+00  0.20474E+03  0.19953E+00  0.00000E+00  0.00000E+00  0.85212E-04  0.20437E-01  0.21793E+03  0.21342E+05  0.38722E-02  0.13024E-02
      8258  0.24153E-01     2    11     4    15    28  0.20000E-02  0.46000E-01 -0.42000E-01  0.54762E+00  0.52773E+00  0.17066E+03  0.21269E+00  0.37253E-08  0.00000E+00  0.11811E-03  0.20000E-01  0.43721E+03  0.99816E+04  0.85753E-03  0.13024E-02
      8577  0.25015E-01     2    16    13    21    25 -0.42000E-01 -0.10000E-01  0.22600E+00  0.10657E+00  0.10672E+00  0.28766E+03  0.20890E+00  0.00000E+00  0.00000E+00  0.10500E-03  0.26267E-01  0.20030E+03  0.22631E+05  0.11303E-02  0.13024E-02
      8983  0.26147E-01     2    14    19    17    27 -0.18000E-01  0.54000E-01  0.94000E-01  0.26286E+00  0.25589E+00  0.21471E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.82249E-04  0.20000E-01  0.21200E+03  0.20397E+05  0.63493E-03  0.13024E-02
      9340  0.26786E-01     2    11    20     9    25  0.66000E-01  0.22000E-01 -0.54000E-01  0.37297E+00  0.32673E+00  0.19917E+03  0.17926E+00  0.00000E+00  0.00000E+00  0.92937E-04  0.20000E-01  0.27068E+03  0.14423E+05  0.27359E-02  0.13024E-02
     10155  0.29524E-01     2    11     9    12    26  0.22000E-01  0.34000E-01 -0.50000E-01  0.24612E+00  0.25573E+00  0.21195E+03  0.21269E+00  0.00000E+00  0.00000E+00  0.82223E-04  0.20000E-01  0.21187E+03  0.22157E+05  0.48857E-03  0.13024E-02
