#---it-------t---------dt-------urms------orms------umax------omax--------oum--------uxm--------uym--------uzm-------ux2m------uy2m------uz2m-----Marms-----Mamax-------rhom-------rhomin------rhomax-----ugrhom------ekin------ethm------TTm------TTmin-----TTmax------gTmax----shockmax---taucmin---tauhmin---taufmin-----Hmax-----Hmax_ism---fviscmin---fviscmax---meshRemax---dtu-----dtnu---dtchi----dtHr-----dtFr-----dtb----dteta-----brms------jrms------bmax------jmax-------bxm--------bym--------bzm-----betamin---betamax----vArms-----vAmax-----ab_int-----jb_int---
   2500  0.0052641 2.528E-06 3.572E+00 7.000E+01 2.197E+01  6.515E+02  3.744E+00  4.263E-02 -1.316E-02 -2.491E-01 3.547E+00 2.373E+00 6.839E+00 2.087E-01 1.031E+00 3.47859E-01 1.75119E-03 1.07642E+00  3.773E+00 1.069E+00 5.042E+01 2.349E+02 8.399E+01 8.327E+02  3.067E+04  5.190E-02 1.208E-03 2.129E-04 0.000E+00  4.697E+03  1.975E+02 -2.420E+04  2.848E+04  7.058E+01 0.10249 0.61619 0.41000  0.12773  0.02266 0.00009 0.00024 3.435E-03 4.102E-01 2.178E-02 2.191E+00  4.729E-09  7.988E-07 -1.580E-12 2.330E+05 1.161E+09 5.715E-03 2.867E-02 -4.430E-14  1.278E-08
   2750  0.0058899 2.717E-07 3.316E+00 6.734E+01 1.578E+01  5.299E+02  3.784E+00  4.555E-02 -1.629E-02 -2.254E-01 2.682E+00 1.725E+00 6.589E+00 2.054E-01 7.672E-01 3.47730E-01 9.07704E-03 1.12263E+00  3.033E+00 1.038E+00 5.331E+01 2.413E+02 7.732E+01 2.893E+03  1.867E+05  1.632E-02 6.821E-06 3.049E-03 0.000E+00  3.280E+02  2.186E+02 -4.193E+03  5.344E+03  5.139E+01 0.00755 0.02091 0.01386  1.00000  0.00762 0.00001 0.00003 3.417E-03 4.048E-01 2.202E-02 2.163E+00  1.481E-08  8.190E-07  9.978E-14 2.150E+05 6.169E+09 5.630E-03 2.741E-02 -8.416E-14  1.506E-08
   3000  0.0069399 4.888E-06 3.160E+00 7.021E+01 1.566E+01  7.563E+02  2.911E+00  3.797E-02 -8.186E-03 -1.677E-01 1.539E+00 1.548E+00 6.900E+00 2.107E-01 7.271E-01 3.47555E-01 2.02105E-02 1.18013E+00  3.764E+00 1.249E+00 4.768E+01 2.291E+02 6.772E+01 8.172E+02  2.626E+04  9.838E-03 2.429E-03 3.454E-03 0.000E+00  2.895E+02  2.879E+02 -1.973E+03  1.956E+03  9.234E+01 0.11315 0.22770 0.15027  0.10337  0.01121 0.00015 0.00046 3.399E-03 3.972E-01 2.273E-02 2.168E+00  1.613E-08  1.038E-06  4.102E-13 1.857E+05 1.200E+09 5.497E-03 2.495E-02 -1.700E-13  1.077E-08
   3250  0.0074751 4.265E-07 3.273E+00 9.008E+01 2.619E+01  3.014E+03  2.344E+00  3.460E-02 -2.740E-02 -1.269E-01 1.454E+00 1.849E+00 7.409E+00 2.172E-01 1.798E+00 3.47488E-01 2.41899E-02 1.39161E+00  4.996E+00 1.586E+00 5.309E+01 2.458E+02 6.417E+01 1.445E+04  2.238E+06  2.134E-02 1.065E-05 3.619E-03 0.000E+00  2.763E+02  2.751E+02 -2.131E+05  2.218E+05  1.158E+02 0.02333 0.04287 0.02845  0.85417  0.10357 0.00001 0.00004 3.375E-03 3.887E-01 2.346E-02 2.222E+00  1.957E-08  1.157E-06  1.558E-12 1.700E+05 7.933E+09 5.445E-03 2.511E-02 -2.002E-13  1.281E-08
   3500  0.0080682 3.078E-06 3.375E+00 8.706E+01 1.774E+01  1.800E+03  1.798E+00  3.283E-02 -2.171E-02 -7.506E-02 1.402E+00 1.983E+00 8.002E+00 2.326E-01 1.374E+00 3.47429E-01 4.84627E-03 1.50424E+00  7.013E+00 1.780E+00 4.814E+01 2.318E+02 5.788E+01 6.261E+02  1.721E+04  3.692E-02 1.383E-03 5.333E-04 0.000E+00  1.875E+03  2.540E+02 -2.412E+04  2.551E+04  1.136E+02 0.08283 0.53422 0.35518  0.56011  0.02850 0.00011 0.00029 3.355E-03 3.802E-01 2.451E-02 2.390E+00  2.518E-08  1.325E-06 -3.038E-12 1.532E+05 1.681E+09 5.401E-03 2.930E-02 -2.182E-13  2.139E-08
   3750  0.0086891 4.395E-06 3.415E+00 8.574E+01 1.538E+01  1.370E+03  1.627E+00  2.997E-02 -1.356E-02 -4.094E-02 1.336E+00 2.003E+00 8.324E+00 2.383E-01 1.203E+00 3.47377E-01 2.49289E-02 1.76263E+00  8.570E+00 1.898E+00 4.877E+01 2.336E+02 5.171E+01 5.393E+02  1.978E+04  1.591E-02 4.277E-04 4.256E-03 0.000E+00  2.350E+02  2.348E+02 -3.713E+03  3.709E+03  1.093E+02 0.10034 0.32991 0.21857  0.25941  0.01263 0.00018 0.00041 3.346E-03 3.741E-01 2.588E-02 2.751E+00  2.736E-08  1.493E-06  8.094E-13 1.341E+05 1.358E+09 5.369E-03 3.196E-02 -2.418E-13  2.958E-08
   4000  0.0093143 4.504E-06 3.420E+00 8.542E+01 1.435E+01  1.115E+03  1.585E+00  2.658E-02 -5.460E-03 -6.346E-03 1.300E+00 1.827E+00 8.567E+00 2.423E-01 1.113E+00 3.47318E-01 2.53112E-02 2.00804E+00  1.002E+01 2.076E+00 4.840E+01 2.350E+02 4.502E+01 4.783E+02  1.898E+04  1.476E-02 4.088E-04 3.894E-03 0.000E+00  2.568E+02  2.566E+02 -2.230E+03  2.227E+03  1.004E+02 0.09732 0.31367 0.20770  0.27704  0.02130 0.00019 0.00042 3.348E-03 3.701E-01 2.761E-02 2.725E+00  2.543E-08  1.603E-06 -7.151E-13 1.139E+05 1.391E+09 5.347E-03 3.327E-02 -3.307E-13  3.098E-08
   4250  0.0099497 4.155E-07 3.393E+00 8.492E+01 1.378E+01  1.096E+03  1.457E+00  2.287E-02 -5.283E-03  3.614E-02 1.200E+00 1.451E+00 8.862E+00 2.458E-01 1.010E+00 3.47239E-01 2.56913E-02 2.25288E+00  1.199E+01 2.245E+00 4.992E+01 2.386E+02 3.333E+01 2.383E+03  1.801E+05  1.000E-02 1.094E-05 3.904E-03 0.000E+00  2.561E+02  2.559E+02 -5.123E+04  4.706E+04  1.082E+02 0.01035 0.01968 0.01299  1.00000  0.00407 0.00002 0.00004 3.359E-03 3.676E-01 3.006E-02 2.913E+00  3.771E-08  1.801E-06  2.240E-12 9.395E+04 1.229E+09 5.331E-03 3.397E-02 -5.382E-13  2.517E-08
   4500  0.0111539 5.147E-06 3.360E+00 8.281E+01 1.430E+01  1.179E+03  1.360E+00  1.834E-02 -1.775E-02  1.296E-01 8.785E-01 9.749E-01 9.435E+00 2.614E-01 9.522E-01 3.47027E-01 2.64093E-02 2.84187E+00  1.674E+01 2.474E+00 4.458E+01 2.320E+02 1.741E+01 4.482E+02  1.358E+04  9.144E-03 6.961E-04 5.088E-03 0.000E+00  1.966E+02  1.964E+02 -1.557E+03  1.588E+03  1.144E+02 0.10090 0.22305 0.14709  0.12102  0.00681 0.00024 0.00048 3.420E-03 3.739E-01 3.654E-02 3.782E+00  1.252E-07  2.499E-06  7.223E-12 5.255E+04 1.174E+09 5.308E-03 3.803E-02 -1.148E-12 -5.743E-10
   4750  0.0121832 2.832E-07 3.385E+00 8.037E+01 1.215E+01  1.173E+03  1.564E+00  1.451E-02 -2.159E-02  1.868E-01 5.675E-01 7.667E-01 1.012E+01 2.737E-01 1.109E+00 3.46814E-01 2.73365E-02 3.61116E+00  2.140E+01 2.697E+00 4.799E+01 2.441E+02 1.035E+01 1.076E+04  1.262E+06  6.960E-03 7.079E-06 5.264E-03 0.000E+00  1.900E+02  1.848E+02 -1.235E+04  1.391E+04  9.697E+01 0.00595 0.00937 0.00616  0.97220  0.04398 0.00002 0.00003 3.534E-03 3.961E-01 4.409E-02 5.236E+00  2.077E-07  3.414E-06  1.034E-12 2.721E+04 6.254E+09 5.299E-03 4.322E-02 -1.538E-12 -2.968E-08
