1, 32, 32, 32, 32, 8, 1, 0.01168
1, 32, 32, 32, 32, 3, 2, 0.01312
1, 32, 32, 32, 4, 64, 4, 0.00696
1, 32, 32, 32, 16, 1, 12, 0.00336
1, 32, 32, 32, 32, 18, 1, 0.01008
1, 32, 32, 32, 32, 3, 2, 0.0336005
1, 32, 32, 32, 32, 4, 3, 0.0813605
1, 32, 32, 32, 32, 1, 2, 0.0805605
1, 32, 32, 32, 32, 1, 6, 0.0817605
1, 32, 32, 32, 32, 2, 1, 0.01336
1, 32, 32, 32, 32, 3, 2, 0.0132
1, 32, 32, 32, 32, 1, 2, 0.01336
1, 32, 32, 32, 64, 1, 1, 0.00416
1, 32, 32, 32, 4, 2, 16, 0.00336
1, 32, 32, 32, 16, 5, 8, 0.00336
1, 32, 32, 32, 16, 8, 2, 0.00688
1, 32, 32, 32, 32, 2, 6, 0.0811205
1, 32, 32, 32, 32, 4, 2, 0.01176
1, 26, 26, 26, 24, 8, 1, 0.0183205
1, 3, 26, 26, 8, 20, 2, 0.0174405
1, 26, 3, 26, 12, 1, 48, 0.01712
1, 26, 26, 3, 4, 8, 20, 0.0172
1, 3, 3, 26, 16, 5, 8, 0.01704
1, 3, 26, 3, 44, 1, 16, 0.01712
1, 26, 3, 3, 16, 12, 1, 0.01696
1, 3, 3, 3, 24, 2, 12, 0.01616
1, 3, 3, 3, 4, 8, 20, 0.01632
1, 26, 26, 26, 48, 16, 1, 0.0184
1, 3, 26, 26, 4, 48, 4, 0.01736
1, 26, 3, 26, 64, 2, 2, 0.0171205
1, 26, 26, 3, 16, 14, 4, 0.01712
1, 3, 3, 26, 20, 16, 2, 0.01696
1, 3, 26, 3, 8, 16, 8, 0.01672
1, 26, 3, 3, 64, 12, 1, 0.01632
1, 26, 3, 3, 8, 16, 1, 0.01608
1, 3, 3, 3, 64, 12, 1, 0.01624
1, 26, 26, 26, 32, 6, 2, 0.0160805
1, 3, 26, 26, 16, 12, 4, 0.01616
1, 26, 3, 26, 4, 16, 6, 0.01608
1, 26, 26, 3, 32, 2, 4, 0.01616
1, 3, 3, 26, 64, 15, 1, 0.01624
1, 3, 26, 3, 52, 4, 4, 0.0162405
1, 26, 3, 3, 64, 5, 2, 0.01552
1, 3, 3, 3, 48, 6, 2, 0.01576
1, 26, 26, 26, 4, 1, 16, 0.01632
1, 3, 26, 26, 12, 40, 2, 0.01664
1, 26, 3, 26, 4, 8, 28, 0.0166405
1, 26, 26, 3, 48, 2, 6, 0.01664
1, 3, 3, 26, 32, 15, 2, 0.01664
1, 3, 26, 3, 24, 40, 1, 0.01672
1, 3, 26, 3, 24, 1, 8, 0.01584
1, 26, 3, 3, 32, 8, 1, 0.0164
1, 3, 3, 3, 8, 15, 8, 0.01624
1, 26, 26, 26, 32, 7, 2, 0.01848
1, 3, 26, 26, 8, 5, 8, 0.0172
1, 26, 3, 26, 32, 10, 1, 0.0168
1, 26, 26, 3, 32, 6, 1, 0.01624
1, 3, 3, 26, 4, 8, 28, 0.0155205
1, 3, 3, 26, 16, 8, 4, 0.01648
1, 3, 26, 3, 8, 32, 1, 0.0172
1, 26, 3, 3, 32, 5, 4, 0.01704
1, 3, 3, 3, 4, 3, 32, 0.01688
1, 26, 26, 26, 32, 4, 1, 0.0244
1, 3, 26, 26, 4, 4, 4, 0.01816
1, 26, 3, 26, 8, 4, 8, 0.01744
1, 26, 26, 3, 32, 2, 3, 0.01744
1, 3, 3, 26, 64, 1, 1, 0.05424
1, 3, 26, 3, 32, 1, 2, 0.0544805
1, 26, 3, 3, 16, 2, 2, 0.0524005
1, 3, 3, 3, 64, 1, 1, 0.0524005
1, 26, 26, 26, 16, 4, 4, 0.0675205
1, 3, 26, 26, 8, 1, 8, 0.0570405
1, 26, 3, 26, 8, 1, 8, 0.05416
1, 26, 26, 3, 8, 8, 2, 0.0531205
1, 3, 3, 26, 64, 1, 1, 0.0552005
1, 3, 26, 3, 32, 1, 2, 0.0542405
1, 26, 3, 3, 16, 2, 2, 0.05432
1, 3, 3, 3, 64, 1, 1, 0.0546405
1, 26, 26, 26, 16, 2, 8, 0.0674405
1, 3, 26, 26, 8, 1, 8, 0.0552005
1, 26, 3, 26, 8, 1, 8, 0.0527205
1, 26, 26, 3, 8, 8, 2, 0.0528805
1, 26, 26, 3, 8, 8, 2, 0.0535205
1, 3, 3, 26, 32, 1, 2, 0.0550405
1, 3, 26, 3, 64, 1, 1, 0.0540005
1, 26, 3, 3, 8, 2, 48, 0.0536805
1, 3, 3, 3, 64, 1, 2, 0.05496
1, 26, 26, 26, 16, 2, 8, 0.0676005
1, 3, 26, 26, 8, 1, 8, 0.0558405
1, 26, 3, 26, 8, 1, 8, 0.0534405
1, 26, 26, 3, 4, 60, 4, 0.0172
1, 3, 3, 26, 48, 4, 2, 0.01704
1, 3, 26, 3, 8, 30, 4, 0.01704
1, 26, 3, 3, 4, 32, 6, 0.01688
1, 3, 3, 3, 4, 4, 52, 0.0163205
1, 26, 26, 26, 48, 8, 1, 0.0181605
1, 3, 26, 26, 56, 8, 2, 0.01736
1, 26, 3, 26, 64, 11, 1, 0.0172
1, 26, 26, 3, 8, 2, 52, 0.01704
1, 3, 3, 26, 44, 1, 16, 0.01696
1, 3, 26, 3, 8, 32, 1, 0.01704
1, 26, 3, 3, 16, 56, 1, 0.01696
1, 3, 3, 3, 16, 1, 16, 0.0168805
1, 26, 26, 26, 28, 16, 2, 0.01824
1, 3, 26, 26, 8, 8, 14, 0.01728
1, 26, 3, 26, 16, 3, 16, 0.01704
1, 26, 3, 26, 24, 16, 2, 0.0169605
1, 26, 26, 3, 36, 16, 1, 0.0165605
1, 3, 3, 26, 32, 6, 2, 0.01704
1, 3, 26, 3, 8, 2, 36, 0.01696
1, 26, 3, 3, 16, 2, 16, 0.0168
1, 3, 3, 3, 4, 14, 8, 0.0168
1, 26, 26, 26, 48, 10, 2, 0.01832
1, 3, 26, 26, 16, 2, 20, 0.01712
1, 3, 26, 26, 32, 2, 1, 0.01664
1, 26, 3, 26, 64, 8, 2, 0.0166405
1, 26, 26, 3, 64, 1, 4, 0.01656
1, 3, 3, 26, 4, 16, 7, 0.01672
1, 3, 26, 3, 4, 56, 2, 0.01664
1, 26, 3, 3, 16, 7, 4, 0.01664
1, 3, 3, 3, 16, 36, 1, 0.01656
1, 26, 26, 26, 16, 1, 60, 0.0162405
1, 3, 26, 26, 64, 1, 11, 0.01632
1, 26, 3, 26, 20, 8, 6, 0.01632
1, 26, 26, 3, 8, 4, 14, 0.01664
1, 3, 3, 26, 8, 32, 4, 0.01656
1, 3, 26, 3, 64, 1, 3, 0.01688
1, 26, 3, 3, 4, 8, 10, 0.0156
1, 3, 3, 3, 16, 6, 8, 0.0163205
1, 26, 26, 26, 16, 1, 4, 0.0164
1, 26, 26, 26, 8, 8, 1, 0.0164
1, 3, 26, 26, 24, 10, 4, 0.0165605
1, 26, 3, 26, 4, 4, 16, 0.01656
1, 26, 26, 3, 4, 52, 4, 0.01672
1, 3, 3, 26, 8, 2, 40, 0.0164005
1, 3, 26, 3, 16, 3, 12, 0.01648
1, 26, 3, 3, 4, 4, 40, 0.01656
1, 3, 3, 3, 8, 8, 16, 0.01656
1, 3, 3, 3, 16, 8, 7, 0.0164
1, 26, 26, 26, 4, 8, 2, 0.01648
1, 3, 26, 26, 64, 2, 1, 0.01648
1, 26, 3, 26, 40, 8, 2, 0.01672
1, 26, 26, 3, 44, 8, 2, 0.01536
1, 3, 3, 26, 12, 16, 5, 0.0165605
1, 3, 26, 3, 48, 4, 5, 0.01664
1, 26, 3, 3, 4, 8, 12, 0.01568
1, 3, 3, 3, 32, 1, 2, 0.0550405
1, 26, 26, 26, 16, 4, 4, 0.0671205
1, 3, 26, 26, 8, 1, 8, 0.05664
1, 26, 3, 26, 8, 2, 8, 0.0541605
1, 26, 26, 3, 8, 8, 1, 0.0540805
1, 3, 3, 26, 8, 2, 8, 0.0552005
1, 3, 26, 3, 16, 1, 44, 0.05424
1, 26, 3, 3, 16, 2, 2, 0.0532005
1, 26, 3, 3, 4, 4, 36, 0.0160805
