#----it----------t----------dt-------urms-------umax--------oum-------rhom---
      660       0.00015  2.24E-07  1.398E+01   3.04E+01   2.41E+03    1.0000
      670       0.00015  2.24E-07  1.390E+01   3.01E+01   2.87E+03    1.0000
      680       0.00015  2.24E-07  1.398E+01   2.98E+01   2.86E+03    1.0000
      690       0.00015  2.24E-07  1.385E+01   2.97E+01   3.23E+03    1.0000
      700       0.00016  2.24E-07  1.400E+01   3.02E+01   3.30E+03    1.0000
      710       0.00016  2.24E-07  1.406E+01   3.01E+01   2.44E+03    1.0000
      720       0.00016  2.24E-07  1.406E+01   2.95E+01   1.67E+03    1.0000
      730       0.00016  2.24E-07  1.455E+01   3.08E+01   2.02E+03    1.0000
      740       0.00017  2.24E-07  1.459E+01   3.02E+01   6.48E+02    1.0000
      750       0.00017  2.24E-07  1.429E+01   2.96E+01   1.06E+02    1.0000
      760       0.00017  2.24E-07  1.397E+01   2.99E+01   4.20E+02    1.0000
      770       0.00017  2.24E-07  1.414E+01   3.05E+01   1.44E+03    1.0000
      780       0.00018  2.24E-07  1.433E+01   2.99E+01   1.64E+03    1.0000
      790       0.00018  2.24E-07  1.415E+01   2.93E+01   1.85E+03    1.0000
      800       0.00018  2.24E-07  1.384E+01   2.91E+01   5.48E+02    1.0000
      810       0.00018  2.24E-07  1.399E+01   2.97E+01  -5.15E+02    1.0000
      820       0.00018  2.24E-07  1.457E+01   2.99E+01   1.57E+02    1.0000
      830       0.00019  2.24E-07  1.459E+01   3.14E+01  -2.13E+02    1.0000
      840       0.00019  2.24E-07  1.459E+01   3.08E+01  -1.99E+02    1.0000
      850       0.00019  2.24E-07  1.470E+01   3.22E+01  -1.40E+02    1.0000
      860       0.00019  2.24E-07  1.462E+01   3.31E+01  -3.70E+01    1.0000
      870       0.00020  2.24E-07  1.470E+01   3.39E+01  -7.09E+02    1.0000
      880       0.00020  2.24E-07  1.438E+01   3.41E+01  -1.23E+03    1.0000
      890       0.00020  2.24E-07  1.467E+01   3.35E+01  -9.16E+02    1.0000
      900       0.00020  2.24E-07  1.470E+01   3.13E+01   5.21E+02    1.0000
