   0.600000  4405420.9648821      685.9867760  2115352.9228461  4771749.3537883      612.4337178  2322199.9999731
   0.612500  4277995.3775637      637.4527303  2140334.6196615  4593353.5315426      578.4122295  2322199.9999737
   0.625001  4154977.9637035      592.6100607  2165460.7217181  4421129.1521383      546.1883855  2322199.9999744
   0.637501  4036188.2465398      551.1575255  2190731.9152967  4254823.5481092      515.6618343  2322199.9999750
   0.650002  3921451.2398211      512.8191758  2216149.5950185  4094191.7387029      486.7376313  2322199.9999757
   0.662502  3810597.4476147      477.3422643  2241715.8973648  3938996.4298810      459.3260100  2322199.9999764
   0.675003  3703461.9850284      444.4954257  2267433.1937730  3789008.0143188      433.3421600  2322199.9999771
   0.687503  3599630.7859641      414.0954888  2293143.6364860  3644004.5714054      408.7060133  2322199.9999778
   0.700004  3492694.2996496      386.6115861  2314744.6185986  3503771.8672437      385.3420378  2322199.9999787
   0.712504  3367602.0735731      363.2363318  2321846.1135830  3368103.3546505      363.1790370  2322199.9999797
   0.725004  3236762.0977723      342.1556785  2322168.0796184  3236800.1731564      342.1499579  2322199.9999808
   0.737505  3109639.6511163      322.1962171  2322172.8773752  3109671.1490058      322.1917045  2322199.9999820
   0.750005  2986506.2229079      303.2485412  2322176.6304830  2986532.7951568      303.2449590  2322199.9999835
   0.762506  2867187.5117811      285.2567685  2322180.4177376  2867209.3112816      285.2540081  2322199.9999852
   0.775006  2751515.4111495      268.1686153  2322184.2428170  2751532.5837660      268.1665767  2322199.9999872
   0.787507  2639329.5005296      251.9350751  2322188.1094368  2639342.1857096      251.9336663  2322199.9999896
   0.800007  2530477.0458441      236.5102632  2322192.0215931  2530485.3769260      236.5093997  2322199.9999925
   0.812508  2424812.9994224      221.8512669  2322195.9835784  2424817.1039424      221.8508709  2322199.9999959
   0.825008  2322200.0000000      207.9180000  2322200.0000000  2322200.0000000      207.9180000  2322200.0000000
   0.837509  2222508.3727188      194.6730624  2322204.0757881  2222504.3850538      194.6733927  2322199.9999931
   0.850009  2125616.1291273      182.0816045  2322208.2162504  2125608.2657724      182.0822047  2322199.9999849
   0.862509  2031408.9671799      170.1111950  2322212.4270654  2031397.3355386      170.1120098  2322199.9999751
   0.875010  1939780.2712378      158.7316936  2322216.7143188  1939764.9744486      158.7326723  2322199.9999633
   0.887510  1850631.1120684      147.9151262  2322221.0845331  1850612.2493128      147.9162223  2322199.9999491
   0.900011  1763870.2468453      137.6355639  2322225.5447010  1763847.9136552      137.6367349  2322199.9999319
   0.912511  1679414.1191488      127.8690044  2322230.1023219  1679388.4077136      127.8702118  2322199.9999110
   0.925012  1597186.8589653      118.5932569  2322234.7654436  1597157.8584397      118.5944655  2322199.9998854
   0.937512  1517120.2826877      109.7878276  2322239.5427074  1517088.0794990      109.7890057  2322199.9998540
   0.950013  1439153.8931151      101.4338089  2322244.4434001  1439118.5712709      101.4349278  2322199.9998152
   0.962513  1363234.8794532       93.5137685  2322249.4775101  1363196.5208484       93.5148026  2322199.9997673
   0.975013  1289318.1173138       86.0116407  2322254.6557915  1289276.8020385       86.0125673  2322199.9997075
   0.987514  1217366.1687153       78.9126182  2322259.9898341  1217321.9753621       78.9134174  2322199.9996327
