6.700 1.208 1.000 1.099 -22.44 -22.56 -8.80 13.40 1608.2 2.387 259.6 1.034
6.750 1.208 1.000 1.099 -22.46 -22.59 -8.75 13.48 1804.4 2.387 274.9 1.034
6.800 1.208 1.000 1.099 -22.48 -22.60 -8.70 13.54 2024.7 2.387 291.2 1.034
6.850 1.209 1.000 1.099 -22.48 -22.60 -8.65 13.59 2271.8 2.387 308.5 1.034
6.900 1.209 1.000 1.099 -22.46 -22.59 -8.60 13.63 2549.1 2.387 326.8 1.034
6.950 1.209 1.000 1.099 -22.45 -22.57 -8.55 13.66 2860.2 2.387 346.1 1.034
7.000 1.209 1.000 1.099 -22.45 -22.57 -8.50 13.71 3209.2 2.387 366.7 1.034
7.050 1.209 1.000 1.099 -22.46 -22.59 -8.45 13.78 3600.9 2.387 388.4 1.034
7.100 1.209 1.000 1.099 -22.49 -22.62 -8.40 13.86 4040.4 2.387 411.4 1.034
7.150 1.209 1.000 1.099 -22.53 -22.65 -8.35 13.94 4533.5 2.387 435.8 1.034
7.200 1.209 1.000 1.099 -22.56 -22.68 -8.30 14.02 5086.8 2.387 461.6 1.034
7.250 1.209 1.000 1.099 -22.58 -22.70 -8.25 14.09 5707.5 2.387 489.0 1.034
7.300 1.209 1.000 1.099 -22.60 -22.72 -8.20 14.16 6404.0 2.387 518.0 1.034
7.350 1.209 1.000 1.099 -22.61 -22.73 -8.15 14.22 7185.4 2.387 548.6 1.034
7.400 1.209 1.000 1.099 -22.61 -22.73 -8.10 14.27 8062.2 2.387 581.2 1.034
7.450 1.209 1.000 1.099 -22.61 -22.73 -8.05 14.32 9046.0 2.387 615.6 1.034
7.500 1.209 1.000 1.099 -22.60 -22.73 -8.00 14.37 10149.8 2.387 652.1 1.034
7.550 1.209 1.000 1.099 -22.60 -22.72 -7.95 14.41 11388.3 2.387 690.7 1.034
7.600 1.209 1.000 1.099 -22.59 -22.71 -7.90 14.45 12777.9 2.387 731.6 1.034
7.650 1.209 1.000 1.099 -22.57 -22.70 -7.85 14.49 14337.1 2.387 775.0 1.034
7.700 1.209 1.000 1.099 -22.56 -22.68 -7.80 14.52 16086.6 2.387 820.9 1.034
7.750 1.209 1.000 1.099 -22.54 -22.67 -7.75 14.56 18049.5 2.387 869.6 1.034
7.800 1.209 1.000 1.099 -22.53 -22.65 -7.70 14.59 20251.9 2.387 921.1 1.034
7.850 1.209 1.000 1.099 -22.51 -22.64 -7.65 14.63 22723.1 2.387 975.7 1.034
7.900 1.209 1.000 1.099 -22.49 -22.62 -7.60 14.66 25495.8 2.387 1033.5 1.034
7.950 1.209 1.000 1.099 -22.48 -22.60 -7.55 14.69 28606.9 2.387 1094.7 1.034
8.000 1.209 1.000 1.099 -22.46 -22.58 -7.50 14.72 32097.6 2.387 1159.6 1.034
8.050 1.209 1.000 1.099 -22.44 -22.56 -7.45 14.75 36014.2 2.387 1228.3 1.034
8.100 1.209 1.000 1.099 -22.42 -22.54 -7.40 14.78 40408.7 2.387 1301.1 1.034
8.150 1.209 1.000 1.099 -22.40 -22.53 -7.35 14.82 45339.4 2.387 1378.2 1.034
8.200 1.209 1.000 1.099 -22.38 -22.51 -7.30 14.85 50871.7 2.387 1459.8 1.034
8.250 1.209 1.000 1.099 -22.36 -22.49 -7.25 14.88 57079.1 2.387 1546.3 1.034
8.300 1.209 1.000 1.099 -22.34 -22.47 -7.20 14.91 64044.0 2.387 1638.0 1.034
8.350 1.209 1.000 1.099 -22.32 -22.45 -7.15 14.94 71858.6 2.387 1735.0 1.034
8.400 1.209 1.000 1.099 -22.30 -22.43 -7.10 14.97 80626.8 2.387 1837.8 1.034
8.450 1.209 1.000 1.099 -22.28 -22.40 -7.05 14.99 90464.8 2.387 1946.7 1.034
8.500 1.209 1.000 1.099 -22.26 -22.38 -7.00 15.02 101503.0 2.387 2062.1 1.034
