#---it-------t-------dt------urms----umax-----ruxm------ruym------ruzm-----rumax-----rhom-----brms------bmax------epsK------epsM---
      0      0.00 7.94E-04  0.0000  0.0000  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.0000 0.000E+00 0.000E+00 0.000E+00 0.000E+00
     50      0.04 7.93E-04  0.0000  0.0000  2.86E-13  2.82E-13 -2.27E-15  2.13E-05  1.0000 3.269E-02 1.185E-01 3.975E-12 7.698E-05
    100      0.08 7.91E-04  0.0000  0.0001 -6.00E-14  5.99E-13  2.04E-12  5.27E-05  1.0000 4.614E-02 1.606E-01 1.675E-11 1.534E-04
    150      0.12 7.89E-04  0.0000  0.0001 -3.48E-13  1.10E-12  5.12E-12  1.18E-04  1.0000 5.640E-02 2.038E-01 4.067E-11 2.290E-04
