7928, 1.882637348883341, 0.002070587887777, 2.181692617653946e-18, 0.3159 
1.177770973137491e+02 1.539198899645213e-18 8.435295823865810e-03 4.902731635999399e-19 3.333333333333288e-01 
1.183399644724455e+02 1.546507076340904e-18 8.395422586533889e-03 4.893092964945014e-19 3.333333333333287e-01 
1.189055216230467e+02 1.553850179439364e-18 8.355736762415130e-03 4.883199474249972e-19 3.333333333333287e-01 
1.194737816212617e+02 1.561228375845605e-18 8.316261320945794e-03 4.837352772283159e-19 3.333333333333287e-01 
1.200447573842380e+02 1.568641833165620e-18 8.276969369596068e-03 4.791756929661095e-19 3.333333333333287e-01 
1.206184618908558e+02 1.576090719120349e-18 8.237860083806996e-03 4.746586385655978e-19 3.333333333333287e-01 
1.211949081820221e+02 1.583575139746403e-18 8.198932966693421e-03 4.756566129882555e-19 3.333333333333286e-01 
1.217741093609675e+02 1.591095431041273e-18 8.160186334374443e-03 4.780828624393528e-19 3.333333333333285e-01 
1.223560785935442e+02 1.598651655914148e-18 8.121619934026882e-03 4.782133404367712e-19 3.333333333333285e-01 
1.229408291085253e+02 1.606243963052934e-18 8.083233066106494e-03 4.731911618360563e-19 3.333333333333285e-01 
1.235283741979051e+02 1.613872554144654e-18 8.045024769842630e-03 4.687699841630627e-19 3.333333333333285e-01 
1.241187272172014e+02 1.621537602893720e-18 8.006994235990370e-03 4.662225312236828e-19 3.333333333333285e-01 
1.247119015857602e+02 1.629239283561223e-18 7.969140660146128e-03 4.630382170839079e-19 3.333333333333285e-01 
1.253079107870585e+02 1.636977771209302e-18 7.931463241504084e-03 4.609597958834235e-19 3.333333333333284e-01 
1.259067683690127e+02 1.644753241851197e-18 7.893961182136451e-03 4.566106418977024e-19 3.333333333333284e-01 
1.265084879442857e+02 1.652565872084411e-18 7.856633688765179e-03 4.523021095213646e-19 3.333333333333284e-01 
1.271130831905966e+02 1.660415839272586e-18 7.819479971853296e-03 4.492224610370516e-19 3.333333333333284e-01 
1.277205678510313e+02 1.668303319266924e-18 7.782499256171332e-03 4.572540674284399e-19 3.333333333333283e-01 
1.283309557343553e+02 1.676228500796390e-18 7.745706832672404e-03 4.529410577159524e-19 3.333333333333283e-01 
1.289442607153277e+02 1.684191554208285e-18 7.709095156793945e-03 4.486699773000559e-19 3.333333333333283e-01 
1.295604967350158e+02 1.692192663659120e-18 7.672653851748581e-03 4.471467258462021e-19 3.333333333333283e-01 
1.301796778011128e+02 1.700232011099575e-18 7.636382145703171e-03 4.459563232818817e-19 3.333333333333282e-01 
1.308018179882557e+02 1.708309779286033e-18 7.600279270429472e-03 4.425076293814128e-19 3.333333333333282e-01 
1.314269314383457e+02 1.716426151841227e-18 7.564344461027789e-03 4.383333327995913e-19 3.333333333333282e-01 
1.320550323608691e+02 1.724581313214411e-18 7.528576956105174e-03 4.377825366324293e-19 3.333333333333282e-01 
1.326861350332205e+02 1.732775448850918e-18 7.492975997036693e-03 4.394837962750612e-19 3.333333333333281e-01 
1.333202538010282e+02 1.741008744858043e-18 7.457540829426595e-03 4.356695823288294e-19 3.333333333333281e-01 
1.339574030784786e+02 1.749281388602864e-18 7.422270700531847e-03 4.304429500665271e-19 3.333333333333282e-01 
1.345975973486454e+02 1.757593568342216e-18 7.387164860899634e-03 4.311038516015407e-19 3.333333333333281e-01 
1.352408511638178e+02 1.765945472477411e-18 7.352222567465952e-03 4.298437502193108e-19 3.333333333333280e-01 
1.358871791458319e+02 1.774337290991482e-18 7.317443077493830e-03 4.280190688888578e-19 3.333333333333280e-01 
1.365365959864026e+02 1.782769214593626e-18 7.282825652203352e-03 4.239784141155506e-19 3.333333333333280e-01 
1.371891164474578e+02 1.791241435416933e-18 7.248369553928428e-03 4.199755345463672e-19 3.333333333333280e-01 
1.378447553614748e+02 1.799754145980259e-18 7.214076127199591e-03 4.160104410932223e-19 3.333333333333280e-01 
1.385035276318155e+02 1.808307539252556e-18 7.179964105542897e-03 4.174056555547867e-19 3.333333333333279e-01 
1.391654482330668e+02 1.816901809973281e-18 7.146010968367342e-03 4.138679028263167e-19 3.333333333333279e-01 
1.398305322113805e+02 1.825537153439867e-18 7.112215994874270e-03 4.099630756704491e-19 3.333333333333279e-01 
1.404987946848150e+02 1.834213765989325e-18 7.078578466953956e-03 4.101865267325204e-19 3.333333333333279e-01 
1.411702508436797e+02 1.842931844833443e-18 7.045097669842862e-03 4.096222170338468e-19 3.333333333333278e-01 
1.418449159508791e+02 1.851691588137152e-18 7.011772891819311e-03 4.066538056417314e-19 3.333333333333278e-01 
1.425228053422615e+02 1.860493195024628e-18 6.978603424187770e-03 4.028156228996553e-19 3.333333333333278e-01 
1.432039344269658e+02 1.869336865571343e-18 6.945588561315754e-03 4.028602302306143e-19 3.333333333333278e-01 
1.438883186877727e+02 1.878222800717274e-18 6.912727600957892e-03 4.010029272197364e-19 3.333333333333277e-01 
1.445759736814566e+02 1.887151202544131e-18 6.880019843234632e-03 3.959885532417930e-19 3.333333333333278e-01 
1.452669150391390e+02 1.896122274172837e-18 6.847464591040095e-03 3.971241895868302e-19 3.333333333333277e-01 
1.459611584666439e+02 1.905136219296152e-18 6.815061151727204e-03 3.976254182715077e-19 3.333333333333277e-01 
1.466587197448549e+02 1.914193242807391e-18 6.782808834820034e-03 3.958517745592199e-19 3.333333333333276e-01 
1.473596147300735e+02 1.923293550635910e-18 6.750706952634647e-03 3.921131701414239e-19 3.333333333333276e-01 
1.480638593543807e+02 1.932437349617242e-18 6.718754820743158e-03 3.884959712667666e-19 3.333333333333276e-01 
1.487714696259976e+02 1.941624847658363e-18 6.686961662250268e-03 3.871519609350477e-19 3.333333333333275e-01 
1.494824616296501e+02 1.950856253533190e-18 6.655328702541781e-03 3.880270093644379e-19 3.333333333333275e-01 
1.501968515269345e+02 1.960131777121948e-18 6.623843222777885e-03 3.848211105222898e-19 3.333333333333275e-01 
1.509146555566849e+02 1.969451629276068e-18 6.592504552156576e-03 3.849416455654683e-19 3.333333333333274e-01 
1.516358900353422e+02 1.978816021800062e-18 6.561312022965747e-03 3.823700534921248e-19 3.333333333333274e-01 
1.523605713573244e+02 1.988225167575680e-18 6.530264970170196e-03 3.802982752817299e-19 3.333333333333274e-01 
1.530887159954013e+02 1.997679280532594e-18 6.499362731522463e-03 3.775290400487972e-19 3.333333333333274e-01 
1.538203405010662e+02 2.007178575503751e-18 6.468604648038574e-03 3.751771748520069e-19 3.333333333333273e-01 
1.545554615049139e+02 2.016723268450214e-18 6.437990063265471e-03 3.727336665754131e-19 3.333333333333273e-01 
1.552940957170183e+02 2.026313576332858e-18 6.407518323707149e-03 3.710146869603154e-19 3.333333333333273e-01 
1.560362599273122e+02 2.035949717121084e-18 6.377188778796504e-03 3.717396710391864e-19 3.333333333333273e-01 
1.567819710059690e+02 2.045631909915785e-18 6.347000780514458e-03 3.712167982035961e-19 3.333333333333272e-01 
1.575312459037858e+02 2.055360374613137e-18 6.316953684438507e-03 3.677100780311674e-19 3.333333333333272e-01 
1.582841016525701e+02 2.065135332210742e-18 6.287046848779143e-03 3.645489532836630e-19 3.333333333333272e-01 
1.590405553655247e+02 2.074957005545464e-18 6.257279632176567e-03 3.629682634686141e-19 3.333333333333272e-01 
1.598006242376384e+02 2.084825618208068e-18 6.227651397049866e-03 3.596482467045771e-19 3.333333333333272e-01 
1.605643255460766e+02 2.094741393287449e-18 6.198176215962084e-03 3.622419604836840e-19 3.333333333333270e-01 
1.613316766505733e+02 2.104704556267860e-18 6.168844035137870e-03 3.591185431042454e-19 3.333333333333270e-01 
1.621026949938267e+02 2.114715334847130e-18 6.139648726899860e-03 3.557278001300084e-19 3.333333333333270e-01 
1.628773981018946e+02 2.124773955561978e-18 6.110589670436702e-03 3.571030222409606e-19 3.333333333333269e-01 
1.636558035845943e+02 2.134880647218845e-18 6.081666244160030e-03 3.537683541604874e-19 3.333333333333270e-01 
1.644379291359012e+02 2.145035639659301e-18 6.052877829370201e-03 3.511018341368198e-19 3.333333333333269e-01 
1.652237925343520e+02 2.155239163702041e-18 6.024223810413801e-03 3.496723575214783e-19 3.333333333333269e-01 
1.660134116434485e+02 2.165491451273541e-18 5.995703574308424e-03 3.492507662500912e-19 3.333333333333268e-01 
1.668068044120640e+02 2.175792735447922e-18 5.967316510637969e-03 3.496549480991482e-19 3.333333333333268e-01 
1.676039888748508e+02 2.186143250367024e-18 5.939062011778747e-03 3.485287334904597e-19 3.333333333333268e-01 
1.684049831526502e+02 2.196543231281729e-18 5.910939472785905e-03 3.452356872908104e-19 3.333333333333268e-01 
1.692098054529056e+02 2.206992914662332e-18 5.882948291102340e-03 3.419734754958695e-19 3.333333333333268e-01 
1.700184740700743e+02 2.217492538045695e-18 5.855087866977514e-03 3.391079192362707e-19 3.333333333333268e-01 
1.708310073860448e+02 2.228042339976555e-18 5.827357603615455e-03 3.376700923842666e-19 3.333333333333267e-01 
1.716474238705544e+02 2.238642560414756e-18 5.799756906111175e-03 3.361034908405558e-19 3.333333333333267e-01 
1.724677420816087e+02 2.249293440209936e-18 5.772285182831587e-03 3.329446088490410e-19 3.333333333333267e-01 
1.732919806659037e+02 2.259995221316085e-18 5.744958980608642e-03 3.332308878212036e-19 3.333333333333266e-01 
1.741201583592494e+02 2.270748147179112e-18 5.717761846511686e-03 3.334820311688121e-19 3.333333333333265e-01 
1.749522939869968e+02 2.281552462639679e-18 5.690691727223503e-03 3.307728539510826e-19 3.333333333333265e-01 
1.757884064644639e+02 2.292408412762222e-18 5.663748044108441e-03 3.303206329211578e-19 3.333333333333264e-01 
1.766285147973671e+02 2.303316244336808e-18 5.636930219662102e-03 3.280808550226303e-19 3.333333333333264e-01 
1.774726380822526e+02 2.314276205375678e-18 5.610237678806447e-03 3.238914568406483e-19 3.333333333333265e-01 
1.783207955069309e+02 2.325288545040013e-18 5.583669849074409e-03 3.230907348486954e-19 3.333333333333264e-01 
1.791730063509127e+02 2.336353513640209e-18 5.557226160608154e-03 3.222975565942480e-19 3.333333333333264e-01 
1.800292899858471e+02 2.347471362694387e-18 5.530906046019649e-03 3.207282705774692e-19 3.333333333333264e-01 
1.808896658759617e+02 2.358642344935784e-18 5.504708940378173e-03 3.195988175737146e-19 3.333333333333263e-01 
1.817541535785064e+02 2.369866714302663e-18 5.478634281238437e-03 3.176088252088873e-19 3.333333333333263e-01 
1.826227727441960e+02 2.381144723227642e-18 5.452681514834987e-03 3.168865480634338e-19 3.333333333333262e-01 
1.834955431176579e+02 2.392476627295627e-18 5.426850085240325e-03 3.144937802240626e-19 3.333333333333262e-01 
1.843724845378812e+02 2.403862702648310e-18 5.401139395638272e-03 3.141622040838399e-19 3.333333333333262e-01 
1.852536169386670e+02 2.415303184114428e-18 5.375548947596615e-03 3.111918654533166e-19 3.333333333333262e-01 
1.861389603490817e+02 2.426798340627323e-18 5.350078771803653e-03 3.082494720177594e-19 3.333333333333262e-01 
1.870285348939124e+02 2.438348433483474e-18 5.324744268675627e-03 3.082783529903858e-19 3.333333333333261e-01 
1.879223607941250e+02 2.449953725340796e-18 5.299528159734083e-03 3.082862167237571e-19 3.333333333333260e-01 
1.888204583673224e+02 2.461614479681921e-18 5.274429904215627e-03 3.057723432809872e-19 3.333333333333260e-01 
1.897228480282074e+02 2.473330962106700e-18 5.249448961885311e-03 3.028830538171181e-19 3.333333333333260e-01 
1.906295502890464e+02 2.485103435043389e-18 5.224584804271999e-03 3.000208285261648e-19 3.333333333333260e-01 
1.915405857601358e+02 2.496932174740376e-18 5.199836878770648e-03 3.008980204918256e-19 3.333333333333259e-01 
1.924559751502705e+02 2.508817445368037e-18 5.175204663426706e-03 3.003235668256055e-19 3.333333333333259e-01 
1.933757392672139e+02 2.520759514818443e-18 5.150687633248916e-03 2.989364973700483e-19 3.333333333333258e-01 
1.942998990181730e+02 2.532758656466411e-18 5.126285256911329e-03 2.975902337059466e-19 3.333333333333258e-01 
1.952284754102708e+02 2.544815143057574e-18 5.101997009425734e-03 2.947768654092497e-19 3.333333333333258e-01 
1.961614895510259e+02 2.556929248729576e-18 5.077822367940086e-03 2.937387168306176e-19 3.333333333333257e-01 
1.970989626488313e+02 2.569101248733771e-18 5.053760812296245e-03 2.949001498149271e-19 3.333333333333257e-01 
1.980409160134369e+02 2.581331419810287e-18 5.029811824284794e-03 2.923658746390936e-19 3.333333333333257e-01 
1.989873710564337e+02 2.593620039954033e-18 5.005974888114870e-03 2.909058448820492e-19 3.333333333333256e-01 
1.999383492917402e+02 2.605967388467344e-18 4.982249490310064e-03 2.893683817986510e-19 3.333333333333255e-01 
2.008938723360933e+02 2.618373746105523e-18 4.958636295537489e-03 2.866316148620247e-19 3.333333333333255e-01 
2.018539619095365e+02 2.630839394728378e-18 4.935148262957464e-03 2.864434098362109e-19 3.333333333333255e-01 
2.028186398359161e+02 2.643364617911361e-18 4.911770072216832e-03 2.862457916186350e-19 3.333333333333254e-01 
2.037879280433764e+02 2.655949700185871e-18 4.888501220505857e-03 2.838881085763206e-19 3.333333333333254e-01 
2.047618485648581e+02 2.668594927670171e-18 4.865341206806604e-03 2.821812111822048e-19 3.333333333333254e-01 
2.057404235385994e+02 2.681300587801129e-18 4.842289532402217e-03 2.807337361882345e-19 3.333333333333253e-01 
2.067236752086387e+02 2.694066969412062e-18 4.819345700735709e-03 2.800846600335101e-19 3.333333333333253e-01 
2.077116259253218e+02 2.706894362677091e-18 4.796509217513349e-03 2.784133435036720e-19 3.333333333333253e-01 
2.087042981458075e+02 2.719783059127368e-18 4.773779590675277e-03 2.776506439284191e-19 3.333333333333252e-01 
2.097017144345799e+02 2.732733351684084e-18 4.751156330338149e-03 2.769324726481923e-19 3.333333333333252e-01 
2.107038974639607e+02 2.745745534667989e-18 4.728638948781160e-03 2.747706075709624e-19 3.333333333333252e-01 
2.117108700146244e+02 2.758819902971162e-18 4.706226961858733e-03 2.729488795236851e-19 3.333333333333251e-01 
2.127226549761169e+02 2.771956574910257e-18 4.683920187496079e-03 2.709618758760967e-19 3.333333333333251e-01 
2.137392753473742e+02 2.785155795534774e-18 4.661718224527346e-03 2.702227797553283e-19 3.333333333333250e-01 
2.147607542372481e+02 2.798419107462764e-18 4.639618529793397e-03 2.679544586245345e-19 3.333333333333250e-01 
2.157871148650279e+02 2.811745212009851e-18 4.617623292973984e-03 2.675712252021453e-19 3.333333333333250e-01 
2.168183805609706e+02 2.825135000657002e-18 4.595731689444400e-03 2.661400645573380e-19 3.333333333333249e-01 
2.178545747668306e+02 2.838588779672271e-18 4.573956581490840e-03 2.636275830132340e-19 3.333333333333249e-01 
2.188957210363924e+02 2.852106855732768e-18 4.552283370218715e-03 2.621379823477332e-19 3.333333333333249e-01 
2.199418430360061e+02 2.865689535734640e-18 4.530711588800765e-03 2.616492837983645e-19 3.333333333333248e-01 
2.209929645451256e+02 2.879337128466964e-18 4.509240771787256e-03 2.612915665923129e-19 3.333333333333248e-01 
2.220491094568481e+02 2.893049944270120e-18 4.487870455673572e-03 2.601530508146397e-19 3.333333333333247e-01 
2.231103017784596e+02 2.906828294821741e-18 4.466600179237783e-03 2.601071841451200e-19 3.333333333333247e-01 
2.241765656319778e+02 2.920672493310474e-18 4.445429483266929e-03 2.588942676950384e-19 3.333333333333246e-01 
2.252479252547019e+02 2.934582854116192e-18 4.424357911043150e-03 2.575251421406568e-19 3.333333333333246e-01 
2.263244049997634e+02 2.948559694024030e-18 4.403385006510906e-03 2.566407192180508e-19 3.333333333333245e-01 
2.274060293366794e+02 2.962603330916095e-18 4.382510316280394e-03 2.552132703702898e-19 3.333333333333245e-01 
2.284928228519092e+02 2.976714083244852e-18 4.361733390368256e-03 2.534615579256914e-19 3.333333333333244e-01 
2.295848102494124e+02 2.990892272032205e-18 4.341053779235431e-03 2.515847960032621e-19 3.333333333333244e-01 
2.306820163512125e+02 3.005138219730652e-18 4.320471035498846e-03 2.507607148750819e-19 3.333333333333244e-01 
2.317844660979581e+02 3.019452250076184e-18 4.299984714134487e-03 2.487758509993579e-19 3.333333333333244e-01 
2.328921845494919e+02 3.033834688373341e-18 4.279594372060582e-03 2.490876584407940e-19 3.333333333333243e-01 
2.340051968854197e+02 3.048285861323949e-18 4.259299568379425e-03 2.467337302410915e-19 3.333333333333243e-01 
2.351235284056831e+02 3.062806098339859e-18 4.239112627223161e-03 2.453358483227547e-19 3.333333333333242e-01 
2.362472045311342e+02 3.077395728535919e-18 4.219020928407891e-03 2.448098548677576e-19 3.333333333333242e-01 
2.373762508041131e+02 3.092055081685500e-18 4.199023316135790e-03 2.443300422337270e-19 3.333333333333241e-01 
2.385106928890304e+02 3.106784496844491e-18 4.179119350189837e-03 2.423772528322995e-19 3.333333333333241e-01 
2.396505565729480e+02 3.121584304321739e-18 4.159308606395531e-03 2.407483081952203e-19 3.333333333333240e-01 
2.407958677661666e+02 3.136454840767720e-18 4.139590655978237e-03 2.405592311243657e-19 3.333333333333240e-01 
2.419466525028147e+02 3.151396444766430e-18 4.119965071654259e-03 2.393336447435543e-19 3.333333333333239e-01 
2.431029369414402e+02 3.166409456065084e-18 4.100431428651637e-03 2.380114617024133e-19 3.333333333333239e-01 
2.442647473656050e+02 3.181494215926213e-18 4.080989304230524e-03 2.370851116827501e-19 3.333333333333239e-01 
2.454321101844820e+02 3.196651067120876e-18 4.061638277686681e-03 2.357012159482843e-19 3.333333333333238e-01 
2.466050519334572e+02 3.211880354232924e-18 4.042377929963399e-03 2.346119142062711e-19 3.333333333333238e-01 
